,N,6,2,N,6,2
SHHSHS,0,1,1,0,1,0
SHHSHH,0,1,1,0,1,1
SHHSSS,0,1,1,0,0,0
SHHSSH,0,1,1,0,0,1
SHHAHS,0,1,1,1,1,0
SHHAHH,0,1,1,1,1,1
SHHASS,0,1,1,1,0,0
SHHASH,0,1,1,1,0,1
SHSSHS,0,1,0,0,1,0
SHSSHH,0,1,0,0,1,1
SHSSSS,0,1,0,0,0,0
SHSSSH,0,1,0,0,0,1
SHSAHS,0,1,0,1,1,0
SHSAHH,0,1,0,1,1,1
SHSASS,0,1,0,1,0,0
SHSASH,0,1,0,1,0,1
SSHSHS,0,0,1,0,1,0
SSHSHH,0,0,1,0,1,1
SSHSSS,0,0,1,0,0,0
SSHSSH,0,0,1,0,0,1
SSHAHS,0,0,1,1,1,0
SSHAHH,0,0,1,1,1,1
SSHASS,0,0,1,1,0,0
SSHASH,0,0,1,1,0,1
SSSSHS,0,0,0,0,1,0
SSSSHH,0,0,0,0,1,1
SSSSSS,0,0,0,0,0,0
SSSSSH,0,0,0,0,0,1
SSSAHS,0,0,0,1,1,0
SSSAHH,0,0,0,1,1,1
SSSASS,0,0,0,1,0,0
SSSASH,0,0,0,1,0,1
AHHSHS,1,1,1,0,1,0
AHHSHH,1,1,1,0,1,1
AHHSSS,1,1,1,0,0,0
AHHSSH,1,1,1,0,0,1
AHHAHS,1,1,1,1,1,0
AHHAHH,1,1,1,1,1,1
AHHASS,1,1,1,1,0,0
AHHASH,1,1,1,1,0,1
AHSSHS,1,1,0,0,1,0
AHSSHH,1,1,0,0,1,1
AHSSSS,1,1,0,0,0,0
AHSSSH,1,1,0,0,0,1
AHSAHS,1,1,0,1,1,0
AHSAHH,1,1,0,1,1,1
AHSASS,1,1,0,1,0,0
AHSASH,1,1,0,1,0,1
ASHSHH,1,0,1,0,1,1
ASHSHS,1,0,1,0,1,0
ASHSSS,1,0,1,0,0,0
ASHSSH,1,0,1,0,0,1
ASHAHH,1,0,1,1,1,1
ASHAHS,1,0,1,1,1,0
ASHASS,1,0,1,1,0,0
ASHASH,1,0,1,1,0,1
ASSSHS,1,0,0,0,1,0
ASSSHH,1,0,0,0,1,1
ASSSSS,1,0,0,0,0,0
ASSSSH,1,0,0,0,0,1
ASSAHS,1,0,0,1,1,0
ASSAHH,1,0,0,1,1,1
ASSASS,1,0,0,1,0,0
ASSASH,1,0,0,1,0,1
